AGPT CUDA Trainer V2
  mode: train-growth
  model: d=64 heads=4 layers=2 ff=256 vocab=65 seq=16 head_dim=16
  seq_len reconcile: model header says 128, growth max_depth=16 -> effective 16. Overriding.
  corpus: rnd/cudax-section2-progressive/20260527T050713-section2-128x6/train_corpus.txt tokens=1059624 full_starts=1059623
  growth: stages=128 epochs_per_stage=6 min_epochs=6 epoch_schedule=fixed scheduled_epochs=768 optimizer=rmsprop schedule=warmup-cosine materializer=incremental-radix estimated_total_unit_steps=49920
  growth-frontiers: source=generated-divisions divisions=128 train_frac=1.000000 final_frontier=1059623
  config: lr=0.003000 warmup_epochs=0 partition_depth=1 chunk_queries=50000 anc_grad=true
  rope-position: mode=depth
  growth-stage 1/128: frontier_starts=8279 ingested_starts=8279 radix_nodes=11973 edge_chars=97074 counts=20088 flat_counts=42947
  train-growth-stage: epochs=6 units=56 optimizer=rmsprop radix_nodes=11973 edge_chars=97074
    stage-epoch 1/6
      unit 1/56 rc=17 chunks=1 trained_queries=2625 trained_events=4464 mean_loss=4.456459 lr=0.003 step=stateful RMSProp step applied
      unit 2/56 rc=6 chunks=1 trained_queries=13728 trained_events=19904 mean_loss=4.593353 lr=0.003 step=stateful RMSProp step applied
      unit 3/56 rc=588 chunks=1 trained_queries=147 trained_events=176 mean_loss=7.036015 lr=0.003 step=stateful RMSProp step applied
      unit 4/56 rc=378 chunks=1 trained_queries=578 trained_events=736 mean_loss=5.816504 lr=0.003 step=stateful RMSProp step applied
      unit 5/56 rc=54 chunks=1 trained_queries=1790 trained_events=2400 mean_loss=5.823520 lr=0.003 step=stateful RMSProp step applied
      unit 6/56 rc=2061 chunks=1 trained_queries=254 trained_events=352 mean_loss=5.317413 lr=0.003 step=stateful RMSProp step applied
      unit 7/56 rc=74 chunks=1 trained_queries=404 trained_events=816 mean_loss=4.553103 lr=0.003 step=stateful RMSProp step applied
      unit 8/56 rc=16 chunks=1 trained_queries=899 trained_events=1136 mean_loss=4.664977 lr=0.003 step=stateful RMSProp step applied
      unit 9/56 rc=547 chunks=1 trained_queries=284 trained_events=336 mean_loss=3.352680 lr=0.003 step=stateful RMSProp step applied
      unit 10/56 rc=213 chunks=1 trained_queries=214 trained_events=400 mean_loss=3.218808 lr=0.003 step=stateful RMSProp step applied
      unit 11/56 rc=78 chunks=1 trained_queries=330 trained_events=416 mean_loss=3.427118 lr=0.003 step=stateful RMSProp step applied
      unit 12/56 rc=18 chunks=1 trained_queries=84 trained_events=96 mean_loss=3.277139 lr=0.003 step=stateful RMSProp step applied
      unit 13/56 rc=7 chunks=1 trained_queries=296 trained_events=608 mean_loss=3.485026 lr=0.003 step=stateful RMSProp step applied
      unit 14/56 rc=6212 chunks=1 trained_queries=31 trained_events=32 mean_loss=3.069405 lr=0.003 step=stateful RMSProp step applied
