AGPT CUDA Trainer V2
  mode: train-growth
  model: d=64 heads=4 layers=2 ff=256 vocab=65 seq=16 head_dim=16
  seq_len reconcile: model header says 128, growth max_depth=16 -> effective 16. Overriding.
  corpus: rnd/cudax-exposure-fix/20260526T192559-static-100ep-section2/train_corpus.txt tokens=1059624 full_starts=1059623
  growth: stages=1 epochs_per_stage=100 min_epochs=100 epoch_schedule=fixed scheduled_epochs=100 optimizer=rmsprop schedule=warmup-cosine materializer=incremental-radix estimated_total_unit_steps=6500
  growth-frontiers: source=generated-divisions divisions=1 train_frac=1.000000 final_frontier=1059623
  config: lr=0.003000 warmup_epochs=0 partition_depth=1 chunk_queries=50000 anc_grad=true
  rope-position: mode=depth
  growth-stage 1/1: frontier_starts=1059623 ingested_starts=1059623 radix_nodes=1527338 edge_chars=8880137 counts=2561796 flat_counts=5252813
  train-growth-stage: epochs=100 units=65 optimizer=rmsprop radix_nodes=1527338 edge_chars=8880137
    stage-epoch 1/100
      unit 1/65 rc=17 chunks=5 trained_queries=235411 trained_events=602672 mean_loss=4.558376 lr=0.003 step=stateful RMSProp step applied
      unit 2/65 rc=6 chunks=25 trained_queries=1209059 trained_events=2588010 mean_loss=4.675622 lr=0.003 step=stateful RMSProp step applied
      unit 3/65 rc=588 chunks=1 trained_queries=17780 trained_events=32192 mean_loss=7.239662 lr=0.003 step=stateful RMSProp step applied
      unit 4/65 rc=987290 chunks=1 trained_queries=16 trained_events=16 mean_loss=6.159486 lr=0.003 step=stateful RMSProp step applied
      unit 5/65 rc=109979 chunks=1 trained_queries=41 trained_events=48 mean_loss=5.848043 lr=0.003 step=stateful RMSProp step applied
      unit 6/65 rc=378 chunks=2 trained_queries=54875 trained_events=94080 mean_loss=5.801989 lr=0.003 step=stateful RMSProp step applied
      unit 7/65 rc=54 chunks=3 trained_queries=146903 trained_events=301856 mean_loss=3.985230 lr=0.00299999 step=stateful RMSProp step applied
      unit 8/65 rc=2061 chunks=1 trained_queries=19351 trained_events=28624 mean_loss=3.588886 lr=0.00299999 step=stateful RMSProp step applied
      unit 9/65 rc=74 chunks=1 trained_queries=35110 trained_events=118240 mean_loss=3.611439 lr=0.00299999 step=stateful RMSProp step applied
      unit 10/65 rc=849363 chunks=1 trained_queries=16 trained_events=432 mean_loss=3.821882 lr=0.00299999 step=stateful RMSProp step applied
      unit 11/65 rc=16 chunks=2 trained_queries=74861 trained_events=154864 mean_loss=3.884238 lr=0.00299998 step=stateful RMSProp step applied
      unit 12/65 rc=547 chunks=1 trained_queries=30300 trained_events=55216 mean_loss=3.187734 lr=0.00299998 step=stateful RMSProp step applied
      unit 13/65 rc=213 chunks=1 trained_queries=15923 trained_events=37200 mean_loss=3.467361 lr=0.00299997 step=stateful RMSProp step applied
      unit 14/65 rc=78 chunks=2 trained_queries=55670 trained_events=115472 mean_loss=3.235274 lr=0.00299997 step=stateful RMSProp step applied
      unit 15/65 rc=18 chunks=1 trained_queries=19324 trained_events=41184 mean_loss=3.203741 lr=0.00299997 step=stateful RMSProp step applied
      unit 16/65 rc=7 chunks=1 trained_queries=22956 trained_events=58432 mean_loss=3.215497 lr=0.00299996 step=stateful RMSProp step applied
      unit 17/65 rc=6212 chunks=1 trained_queries=12887 trained_events=31552 mean_loss=3.282005 lr=0.00299996 step=stateful RMSProp step applied
      unit 18/65 rc=3055 chunks=1 trained_queries=37224 trained_events=92032 mean_loss=3.177306 lr=0.00299995 step=stateful RMSProp step applied
      unit 19/65 rc=1 chunks=1 trained_queries=11903 trained_events=27856 mean_loss=3.188354 lr=0.00299994 step=stateful RMSProp step applied
      unit 20/65 rc=14727 chunks=1 trained_queries=13922 trained_events=37200 mean_loss=3.220614 lr=0.00299994 step=stateful RMSProp step applied
      unit 21/65 rc=2977 chunks=1 trained_queries=20966 trained_events=46224 mean_loss=3.145823 lr=0.00299993 step=stateful RMSProp step applied
      unit 22/65 rc=497 chunks=2 trained_queries=80510 trained_events=178352 mean_loss=3.095490 lr=0.00299992 step=stateful RMSProp step applied
      unit 23/65 rc=14349 chunks=1 trained_queries=2379 trained_events=5104 mean_loss=3.195210 lr=0.00299992 step=stateful RMSProp step applied
      unit 24/65 rc=61678 chunks=1 trained_queries=6700 trained_events=24672 mean_loss=3.255407 lr=0.00299991 step=stateful RMSProp step applied
      unit 25/65 rc=416 chunks=1 trained_queries=26203 trained_events=59152 mean_loss=3.104312 lr=0.0029999 step=stateful RMSProp step applied
      unit 26/65 rc=308 chunks=1 trained_queries=20070 trained_events=43728 mean_loss=2.998653 lr=0.00299989 step=stateful RMSProp step applied
      unit 27/65 rc=522 chunks=1 trained_queries=30344 trained_events=74160 mean_loss=2.974760 lr=0.00299988 step=stateful RMSProp step applied
