AGPT CUDA Trainer V2
  mode: train-growth
  model: d=64 heads=4 layers=2 ff=256 vocab=65 seq=16 head_dim=16
  seq_len reconcile: model header says 128, growth max_depth=16 -> effective 16. Overriding.
  corpus: rnd/cudax-section2-progressive/20260526T224750-section2-64x6/train_corpus.txt tokens=1059624 full_starts=1059623
  growth: stages=64 epochs_per_stage=6 min_epochs=6 epoch_schedule=fixed scheduled_epochs=384 optimizer=rmsprop schedule=warmup-cosine materializer=incremental-radix estimated_total_unit_steps=24960
  growth-frontiers: source=generated-divisions divisions=64 train_frac=1.000000 final_frontier=1059623
  config: lr=0.003000 warmup_epochs=0 partition_depth=1 chunk_queries=50000 anc_grad=true
  rope-position: mode=depth
  growth-stage 1/64: frontier_starts=16557 ingested_starts=16557 radix_nodes=24044 edge_chars=189291 counts=40387 flat_counts=87151
  train-growth-stage: epochs=6 units=58 optimizer=rmsprop radix_nodes=24044 edge_chars=189291
    stage-epoch 1/6
      unit 1/58 rc=17 chunks=1 trained_queries=5616 trained_events=9584 mean_loss=4.476481 lr=0.003 step=stateful RMSProp step applied
      unit 2/58 rc=6 chunks=1 trained_queries=26330 trained_events=39280 mean_loss=4.424957 lr=0.003 step=stateful RMSProp step applied
      unit 3/58 rc=588 chunks=1 trained_queries=308 trained_events=416 mean_loss=6.410930 lr=0.003 step=stateful RMSProp step applied
      unit 4/58 rc=378 chunks=1 trained_queries=1333 trained_events=1712 mean_loss=5.568873 lr=0.003 step=stateful RMSProp step applied
      unit 5/58 rc=54 chunks=1 trained_queries=3144 trained_events=4368 mean_loss=6.110023 lr=0.003 step=stateful RMSProp step applied
      unit 6/58 rc=2061 chunks=1 trained_queries=461 trained_events=592 mean_loss=4.261919 lr=0.003 step=stateful RMSProp step applied
      unit 7/58 rc=74 chunks=1 trained_queries=905 trained_events=1824 mean_loss=3.682928 lr=0.003 step=stateful RMSProp step applied
      unit 8/58 rc=16 chunks=1 trained_queries=1844 trained_events=2480 mean_loss=3.883149 lr=0.003 step=stateful RMSProp step applied
      unit 9/58 rc=547 chunks=1 trained_queries=572 trained_events=720 mean_loss=3.373103 lr=0.003 step=stateful RMSProp step applied
      unit 10/58 rc=213 chunks=1 trained_queries=347 trained_events=608 mean_loss=3.647100 lr=0.003 step=stateful RMSProp step applied
      unit 11/58 rc=78 chunks=1 trained_queries=780 trained_events=1104 mean_loss=3.427011 lr=0.003 step=stateful RMSProp step applied
      unit 12/58 rc=18 chunks=1 trained_queries=297 trained_events=384 mean_loss=3.192083 lr=0.003 step=stateful RMSProp step applied
      unit 13/58 rc=7 chunks=1 trained_queries=599 trained_events=1184 mean_loss=3.397783 lr=0.003 step=stateful RMSProp step applied
      unit 14/58 rc=6212 chunks=1 trained_queries=76 trained_events=96 mean_loss=3.142194 lr=0.003 step=stateful RMSProp step applied
      unit 15/58 rc=3055 chunks=1 trained_queries=308 trained_events=640 mean_loss=2.957709 lr=0.003 step=stateful RMSProp step applied
      unit 16/58 rc=1 chunks=1 trained_queries=267 trained_events=800 mean_loss=3.345542 lr=0.003 step=stateful RMSProp step applied
      unit 17/58 rc=14727 chunks=1 trained_queries=63 trained_events=80 mean_loss=3.497108 lr=0.003 step=stateful RMSProp step applied
      unit 18/58 rc=2977 chunks=1 trained_queries=264 trained_events=320 mean_loss=3.280557 lr=0.003 step=stateful RMSProp step applied
      unit 19/58 rc=497 chunks=1 trained_queries=1596 trained_events=2320 mean_loss=3.067326 lr=0.003 step=stateful RMSProp step applied
      unit 20/58 rc=14349 chunks=1 trained_queries=30 trained_events=32 mean_loss=3.326606 lr=0.003 step=stateful RMSProp step applied
      unit 21/58 rc=416 chunks=1 trained_queries=210 trained_events=288 mean_loss=3.094743 lr=0.003 step=stateful RMSProp step applied
      unit 22/58 rc=308 chunks=1 trained_queries=495 trained_events=1008 mean_loss=2.868587 lr=0.00299999 step=stateful RMSProp step applied
      unit 23/58 rc=522 chunks=1 trained_queries=589 trained_events=1008 mean_loss=2.514236 lr=0.00299999 step=stateful RMSProp step applied
      unit 24/58 rc=611 chunks=1 trained_queries=332 trained_events=448 mean_loss=2.945581 lr=0.00299999 step=stateful RMSProp step applied
      unit 25/58 rc=7882 chunks=1 trained_queries=16 trained_events=16 mean_loss=2.867662 lr=0.00299999 step=stateful RMSProp step applied
      unit 26/58 rc=226 chunks=1 trained_queries=357 trained_events=560 mean_loss=3.021185 lr=0.00299999 step=stateful RMSProp step applied
      unit 27/58 rc=85 chunks=1 trained_queries=1013 trained_events=1552 mean_loss=2.809582 lr=0.00299999 step=stateful RMSProp step applied
      unit 28/58 rc=2669 chunks=1 trained_queries=1098 trained_events=1520 mean_loss=2.783025 lr=0.00299999 step=stateful RMSProp step applied
      unit 29/58 rc=3061 chunks=1 trained_queries=782 trained_events=1184 mean_loss=2.498693 lr=0.00299999 step=stateful RMSProp step applied
      unit 30/58 rc=1714 chunks=1 trained_queries=134 trained_events=224 mean_loss=2.866072 lr=0.00299999 step=stateful RMSProp step applied
      unit 31/58 rc=367 chunks=1 trained_queries=724 trained_events=1008 mean_loss=2.735349 lr=0.00299999 step=stateful RMSProp step applied
      unit 32/58 rc=141 chunks=1 trained_queries=217 trained_events=288 mean_loss=2.788401 lr=0.00299999 step=stateful RMSProp step applied
      unit 33/58 rc=41 chunks=1 trained_queries=9661 trained_events=13008 mean_loss=2.998493 lr=0.00299999 step=stateful RMSProp step applied
      unit 34/58 rc=560 chunks=1 trained_queries=2048 trained_events=2672 mean_loss=2.924727 lr=0.00299999 step=stateful RMSProp step applied
      unit 35/58 rc=36 chunks=1 trained_queries=3187 trained_events=4256 mean_loss=2.827792 lr=0.00299999 step=stateful RMSProp step applied
      unit 36/58 rc=39 chunks=1 trained_queries=5013 trained_events=6576 mean_loss=2.843190 lr=0.00299999 step=stateful RMSProp step applied
      unit 37/58 rc=14 chunks=1 trained_queries=17388 trained_events=23760 mean_loss=2.798402 lr=0.00299998 step=stateful RMSProp step applied
      unit 38/58 rc=21 chunks=1 trained_queries=2472 trained_events=3280 mean_loss=2.812257 lr=0.00299998 step=stateful RMSProp step applied
      unit 39/58 rc=541 chunks=1 trained_queries=2197 trained_events=2816 mean_loss=2.762120 lr=0.00299998 step=stateful RMSProp step applied
      unit 40/58 rc=51 chunks=1 trained_queries=8704 trained_events=12304 mean_loss=2.674298 lr=0.00299998 step=stateful RMSProp step applied
      unit 41/58 rc=2 chunks=1 trained_queries=8977 trained_events=12592 mean_loss=2.730010 lr=0.00299998 step=stateful RMSProp step applied
      unit 42/58 rc=1057 chunks=1 trained_queries=72 trained_events=80 mean_loss=2.664583 lr=0.00299998 step=stateful RMSProp step applied
      unit 43/58 rc=73 chunks=1 trained_queries=1302 trained_events=1648 mean_loss=2.903451 lr=0.00299998 step=stateful RMSProp step applied
      unit 44/58 rc=79 chunks=1 trained_queries=6078 trained_events=7872 mean_loss=2.775698 lr=0.00299998 step=stateful RMSProp step applied
      unit 45/58 rc=63 chunks=1 trained_queries=3694 trained_events=4752 mean_loss=2.736593 lr=0.00299998 step=stateful RMSProp step applied
      unit 46/58 rc=15 chunks=1 trained_queries=8881 trained_events=11728 mean_loss=2.719426 lr=0.00299998 step=stateful RMSProp step applied
      unit 47/58 rc=22 chunks=1 trained_queries=11366 trained_events=15312 mean_loss=2.717575 lr=0.00299997 step=stateful RMSProp step applied
      unit 48/58 rc=32 chunks=1 trained_queries=2023 trained_events=2640 mean_loss=2.722715 lr=0.00299997 step=stateful RMSProp step applied
      unit 49/58 rc=8258 chunks=1 trained_queries=55 trained_events=64 mean_loss=2.750115 lr=0.00299997 step=stateful RMSProp step applied
      unit 50/58 rc=3 chunks=1 trained_queries=9197 trained_events=12400 mean_loss=2.898242 lr=0.00299997 step=stateful RMSProp step applied
      unit 51/58 rc=4 chunks=1 trained_queries=9481 trained_events=13152 mean_loss=2.741961 lr=0.00299997 step=stateful RMSProp step applied
      unit 52/58 rc=5 chunks=1 trained_queries=12016 trained_events=17200 mean_loss=2.643630 lr=0.00299997 step=stateful RMSProp step applied
      unit 53/58 rc=48 chunks=1 trained_queries=5960 trained_events=7808 mean_loss=2.672348 lr=0.00299997 step=stateful RMSProp step applied
      unit 54/58 rc=164 chunks=1 trained_queries=1474 trained_events=1888 mean_loss=2.560084 lr=0.00299997 step=stateful RMSProp step applied
      unit 55/58 rc=28 chunks=1 trained_queries=2961 trained_events=3968 mean_loss=2.628931 lr=0.00299997 step=stateful RMSProp step applied
      unit 56/58 rc=9576 chunks=1 trained_queries=46 trained_events=48 mean_loss=2.634377 lr=0.00299996 step=stateful RMSProp step applied
      unit 57/58 rc=44 chunks=1 trained_queries=3584 trained_events=4912 mean_loss=2.958029 lr=0.00299996 step=stateful RMSProp step applied
      unit 58/58 rc=13 chunks=1 trained_queries=347 trained_events=528 mean_loss=2.712653 lr=0.00299996 step=stateful RMSProp step applied
    stage-epoch 1 summary trained_queries=189291 trained_events=264912 mean_loss=3.191395
    stage-epoch 2/6
      unit 1/58 rc=17 chunks=1 trained_queries=5616 trained_events=9584 mean_loss=2.712182 lr=0.00299996 step=stateful RMSProp step applied
      unit 2/58 rc=6 chunks=1 trained_queries=26330 trained_events=39280 mean_loss=2.721989 lr=0.00299996 step=stateful RMSProp step applied
      unit 3/58 rc=588 chunks=1 trained_queries=308 trained_events=416 mean_loss=2.546764 lr=0.00299996 step=stateful RMSProp step applied
      unit 4/58 rc=378 chunks=1 trained_queries=1333 trained_events=1712 mean_loss=2.647548 lr=0.00299996 step=stateful RMSProp step applied
      unit 5/58 rc=54 chunks=1 trained_queries=3144 trained_events=4368 mean_loss=2.598003 lr=0.00299995 step=stateful RMSProp step applied
      unit 6/58 rc=2061 chunks=1 trained_queries=461 trained_events=592 mean_loss=2.621939 lr=0.00299995 step=stateful RMSProp step applied
      unit 7/58 rc=74 chunks=1 trained_queries=905 trained_events=1824 mean_loss=2.534430 lr=0.00299995 step=stateful RMSProp step applied
      unit 8/58 rc=16 chunks=1 trained_queries=1844 trained_events=2480 mean_loss=2.603746 lr=0.00299995 step=stateful RMSProp step applied
      unit 9/58 rc=547 chunks=1 trained_queries=572 trained_events=720 mean_loss=2.481678 lr=0.00299995 step=stateful RMSProp step applied
      unit 10/58 rc=213 chunks=1 trained_queries=347 trained_events=608 mean_loss=2.344776 lr=0.00299995 step=stateful RMSProp step applied
      unit 11/58 rc=78 chunks=1 trained_queries=780 trained_events=1104 mean_loss=2.572940 lr=0.00299995 step=stateful RMSProp step applied
      unit 12/58 rc=18 chunks=1 trained_queries=297 trained_events=384 mean_loss=2.482748 lr=0.00299994 step=stateful RMSProp step applied
      unit 13/58 rc=7 chunks=1 trained_queries=599 trained_events=1184 mean_loss=2.414587 lr=0.00299994 step=stateful RMSProp step applied
      unit 14/58 rc=6212 chunks=1 trained_queries=76 trained_events=96 mean_loss=2.249521 lr=0.00299994 step=stateful RMSProp step applied
      unit 15/58 rc=3055 chunks=1 trained_queries=308 trained_events=640 mean_loss=1.816279 lr=0.00299994 step=stateful RMSProp step applied
      unit 16/58 rc=1 chunks=1 trained_queries=267 trained_events=800 mean_loss=2.425149 lr=0.00299994 step=stateful RMSProp step applied
      unit 17/58 rc=14727 chunks=1 trained_queries=63 trained_events=80 mean_loss=2.720798 lr=0.00299993 step=stateful RMSProp step applied
      unit 18/58 rc=2977 chunks=1 trained_queries=264 trained_events=320 mean_loss=2.789310 lr=0.00299993 step=stateful RMSProp step applied
      unit 19/58 rc=497 chunks=1 trained_queries=1596 trained_events=2320 mean_loss=2.538123 lr=0.00299993 step=stateful RMSProp step applied
      unit 20/58 rc=14349 chunks=1 trained_queries=30 trained_events=32 mean_loss=2.962044 lr=0.00299993 step=stateful RMSProp step applied
